Datetime,Open,High,Low,Close,Volume
2021-06-07 09:30:00-04:00,126.21499633789062,126.30999755859375,125.54000091552734,125.7699966430664,4389885
2021-06-07 09:35:00-04:00,125.66999816894531,125.79820251464844,125.34239959716797,125.3550033569336,1617441
2021-06-07 09:40:00-04:00,125.41999816894531,125.58989715576172,125.2300033569336,125.40499877929688,1732608
2021-06-07 09:45:00-04:00,125.3499984741211,125.54499816894531,125.25,125.29499816894531,1700005
2021-06-07 09:50:00-04:00,125.25,125.26499938964844,124.93560028076172,125.05229949951172,2101609
2021-06-07 09:55:00-04:00,125.125,125.2699966430664,125.1050033569336,125.2301025390625,1147971
2021-06-07 10:00:00-04:00,125.2300033569336,125.23999786376953,124.86000061035156,124.92500305175781,1454195
2021-06-07 10:05:00-04:00,124.91999816894531,125.09500122070312,124.87000274658203,124.96759796142578,1185894
2021-06-07 10:10:00-04:00,124.97000122070312,125.11000061035156,124.86000061035156,125.05000305175781,952106
2021-06-07 10:15:00-04:00,125.05500030517578,125.10990142822266,124.91000366210938,125.0,820917
2021-06-07 10:20:00-04:00,125.00499725341797,125.29100036621094,124.9800033569336,125.29100036621094,912551
2021-06-07 10:25:00-04:00,125.29000091552734,125.37000274658203,125.2300033569336,125.30000305175781,847150
2021-06-07 10:30:00-04:00,125.30000305175781,125.41000366210938,125.2300033569336,125.28500366210938,776930
2021-06-07 10:35:00-04:00,125.27999877929688,125.37000274658203,125.2300033569336,125.26499938964844,773628
2021-06-07 10:40:00-04:00,125.26499938964844,125.26499938964844,125.12999725341797,125.1500015258789,605213
2021-06-07 10:45:00-04:00,125.1500015258789,125.19000244140625,125.04000091552734,125.18499755859375,680602
2021-06-07 10:50:00-04:00,125.19000244140625,125.26000213623047,125.06500244140625,125.1050033569336,754106
2021-06-07 10:55:00-04:00,125.1050033569336,125.13999938964844,124.95999908447266,125.0999984741211,1066582
2021-06-07 11:00:00-04:00,125.08999633789062,125.11000061035156,124.83209991455078,124.93000030517578,1203020
2021-06-07 11:05:00-04:00,124.93000030517578,125.05999755859375,124.9000015258789,125.01000213623047,795507
2021-06-07 11:10:00-04:00,125.01000213623047,125.19999694824219,125.01000213623047,125.08999633789062,716363
2021-06-07 11:15:00-04:00,125.08999633789062,125.13999938964844,125.01000213623047,125.08999633789062,834826
2021-06-07 11:20:00-04:00,125.09089660644531,125.11990356445312,125.0199966430664,125.0801010131836,624365
2021-06-07 11:25:00-04:00,125.08499908447266,125.10780334472656,124.95999908447266,124.9800033569336,617532
2021-06-07 11:30:00-04:00,124.97000122070312,125.01000213623047,124.91000366210938,124.96299743652344,585162
2021-06-07 11:35:00-04:00,124.95330047607422,125.01000213623047,124.91000366210938,124.96499633789062,547536
2021-06-07 11:40:00-04:00,124.97000122070312,125.04499816894531,124.91999816894531,124.95500183105469,832589
2021-06-07 11:45:00-04:00,124.95590209960938,125.05999755859375,124.94999694824219,125.01499938964844,480772
2021-06-07 11:50:00-04:00,125.0199966430664,125.05999755859375,124.94999694824219,124.9749984741211,579484
2021-06-07 11:55:00-04:00,124.98999786376953,125.0199966430664,124.95999908447266,125.00499725341797,548876
2021-06-07 12:00:00-04:00,125.00499725341797,125.08999633789062,124.98999786376953,125.01499938964844,535824
2021-06-07 12:05:00-04:00,125.0199966430664,125.06999969482422,124.98999786376953,125.02999877929688,514422
2021-06-07 12:10:00-04:00,125.04000091552734,125.13899993896484,125.02999877929688,125.12999725341797,484173
2021-06-07 12:15:00-04:00,125.12999725341797,125.22000122070312,125.12000274658203,125.1218032836914,631115
2021-06-07 12:20:00-04:00,125.12000274658203,125.23999786376953,125.11000061035156,125.19000244140625,376307
2021-06-07 12:25:00-04:00,125.19999694824219,125.19999694824219,125.05000305175781,125.11000061035156,377907
2021-06-07 12:30:00-04:00,125.11470031738281,125.2300033569336,125.11470031738281,125.2249984741211,422802
2021-06-07 12:35:00-04:00,125.2249984741211,125.23999786376953,125.16999816894531,125.20500183105469,400782
